id,name,artists,album,release_date,energy,danceability,popularity,keywords
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),5/21/15,0.362,0.22,73,"['hamari', 'adhuri', 'kahani', 'title', 'track', 'song', 'à¹àà¾àà', 'à', 'àààà', 'àà¹à¾àà']"
5lLRB1nnTy1p8nFaH1Vdyf,Humnava,"Mithoon, Papon",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),5/21/15,0.478,0.314,61,"['humnava', 'song', 'à¹àààµà¾à', 'mp3', 'mithoon', 'download', 'songs', 'music', 'hamari', 'adhuri']"
2wJ9d1Gfj8OqcznPAroqvh,Lo Maan Liya,Arijit Singh,Raaz Reboot,8/19/16,0.55,0.568,63,"['lo', 'maan', 'liya', 'nahi', 'song', 'tumko', 'yaad', 'humko', 'hum', 'hi']"
5Q39OZm29c4V3prqngD7Rf,Raaz Aankhein Teri,"Arijit Singh, Rashmi Virag",Raaz Reboot,8/19/16,0.52,0.562,55,"['teri', 'raaz', 'aankhein', 'song', 'àà¾àà¼', 'ààààà', 'àààà', 'hai', 'ho', 'bhi']"
7nbGvjZBJssfZUVj2tw5kr,Yaad Hai Na,Arijit Singh,Raaz Reboot,8/19/16,0.588,0.514,49,"['yaad', 'hai', 'na', 'song', 'pe', 'tera', 'naa', 'jaana', 'woh', 'mere']"
2EPOgSRhA90xWGVtNZwEv8,Tu Har Lamha,"Bobby-Imran, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack),12/29/14,0.538,0.311,60,"['tu', 'har', 'lamha', 'song', 'mp3', 'arijit', 'singh', 'download', 'songs', 'music']"
0PxMHdQ6bSz9q0eJj3kJzb,Baatein Ye Kabhi Na - Male,"Jeet Gannguli, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack),12/29/14,0.506,0.558,64,"['baatein', 'ye', 'kabhi', 'na', 'male', 'song', 'mp3', 'jeet', 'gannguli', 'download']"
5zcfnScTSFGCHGY1yeXWke,Ishq Sufiyana (Male),Kamal Khan,The Dirty Picture,10/29/11,0.622,0.511,64,"['ishq', 'sufiyana', 'hai', 'mera', 'koi', 'male', 'version', 'song', 'ki', 'tu']"
0Bph99neebTJZ6rsIhd0sN,Kaabil Hoon,"Jubin Nautiyal, Palak Muchhal",Kaabil,12/22/16,0.873,0.662,48,"['kaabil', 'tere', 'hoon', 'song', 'sapne', 'àà¾ààà²', 'à¹àà', 'ke', 'mein', 'hain']"
2RIFyeYTPMHesJsWPW2Z8v,Kisi Se Pyar Ho Jaye,Jubin Nautiyal,Kaabil,12/22/16,0.58,0.615,52,"['kisi', 'se', 'ho', 'pyar', 'jaye', 'song', 'kya', 'ko', 'hai', 'kuch']"
3s6H6UW7yPu2rsF8CGki60,Zindagi Do Pal Ki,KK,Kites,3/29/10,0.771,0.678,56,"['pal', 'ki', 'zindagi', 'song', 'kab', 'tak', 'karenge', 'bhala', 'mp3', 'kk']"
5nHwX7e5XHnie22nuTFgda,Dil Kyun Yeh Mera,KK,Kites,3/29/10,0.382,0.486,60,"['yeh', 'dil', 'kyun', 'mera', 'song', 'ààà²', 'ààààà', 'àà', 'àààà¾', 'nahi']"
189DQylImZ1hGZaIpAQUzx,Moh Moh Ke Dhaage (Male),"Anu Malik, Papon, Varun Grover",Dum Laga Ke Haisha,2/9/15,0.344,0.634,57,"['moh', 'ke', 'dhaage', 'ààà¹', 'toh', 'se', 'teri', 'na', 'hai', 'male']"
7uubRr0u9Zxc1Y84hEn7Xf,Moh Moh Ke Dhaage (Female),"Anu Malik, Monali Thakur, Varun Grover",Dum Laga Ke Haisha,2/9/15,0.399,0.585,60,"['moh', 'ke', 'ààà¹', 'dhaage', 'female', 'song', 'àà', 'àà¾àà', 'ààààà²', 'teri']"
3VkPeb5ZIGkGkb9Uhvo0Ba,Dard Karaara,"Anu Malik, Kumar Sanu, Sadhana Sargam, Varun Grover",Dum Laga Ke Haisha,2/9/15,0.712,0.665,50,"['dard', 'karaara', 'song', 'àààà', 'ààà¾àà¾', 'kore', 'laga', 'dil', 'hai', 'hoon']"
2kY6ClO5UR6EUODx720Kkx,Meherbaan,"Shilpa Rao, Ash King, Shekhar Ravjiani",Bang Bang (Original Motion Picture Soundtrack),9/15/14,0.531,0.59,59,"['bang', 'àààà', 'meherbaan', 'song', 'àà¹ààà¾à', 'ààààà', 'mp3', 'vishal', 'dadlani', 'download']"
464gxyow4GJ7Wuz3cHrdBB,Bang Bang,"Benny Dayal, Neeti Mohan",Bang Bang (Original Motion Picture Soundtrack),9/15/14,0.678,0.705,59,"['bang', 'dj', 'aqeel', 'indohouse', 'mix', 'song', 'mp3', 'vishalshekhar', 'download', 'songs']"
06g9b0J7o8tULKGPZm0wFK,Uff,"Harshdeep Kaur, Benny Dayal",Bang Bang (Original Motion Picture Soundtrack),9/15/14,0.671,0.783,55,"['àààà', 'bang', 'uff', 'song', 'ààààà', 'mp3', 'vishal', 'dadlani', 'bollywood', 'download']"
